index	scene	title	file
17	BABAK 4 — UMKM	Campaign lamaran LIVE (status: Open)	17-babak-4-umkm-campaign-lamaran-live-status-open.png
18	BABAK 4 — UMKM	UMKM membuat campaign kedua untuk jalur UNDANGAN	18-babak-4-umkm-umkm-membuat-campaign-kedua-untuk-jalur-undangan.png
19	BABAK 4 — UMKM	Campaign undangan LIVE (status: Open)	19-babak-4-umkm-campaign-undangan-live-status-open.png
20	BABAK 5 — UMKM UNDANG	UMKM mencari Creator di Discover	20-babak-5-umkm-undang-umkm-mencari-creator-di-discover.png
21	BABAK 5 — UMKM UNDANG	UMKM memilih campaign tujuan undangan	21-babak-5-umkm-undang-umkm-memilih-campaign-tujuan-undangan.png
22	BABAK 5 — UMKM UNDANG	Konfirmasi campaign di tombol kirim	22-babak-5-umkm-undang-konfirmasi-campaign-di-tombol-kirim.png
23	BABAK 5 — UMKM UNDANG	Undangan terkirim	23-babak-5-umkm-undang-undangan-terkirim.png
24	BABAK 6 — CREATOR	Creator membuka inbox Permintaan	24-babak-6-creator-creator-membuka-inbox-permintaan.png
25	BABAK 6 — CREATOR	Creator menyetujui Syarat dan Ketentuan	25-babak-6-creator-creator-menyetujui-syarat-dan-ketentuan.png
26	BABAK 6 — CREATOR	Deal via UNDANGAN terbentuk	26-babak-6-creator-deal-via-undangan-terbentuk.png
27	BABAK 7 — CREATOR	Creator menjelajah campaign yang tersedia	27-babak-7-creator-creator-menjelajah-campaign-yang-tersedia.png
28	BABAK 7 — CREATOR	Creator menulis pesan lamaran	28-babak-7-creator-creator-menulis-pesan-lamaran.png
29	BABAK 7 — CREATOR	Lamaran terkirim (status: pending)	29-babak-7-creator-lamaran-terkirim-status-pending.png
30	BABAK 8 — DEAL LAMARAN	UMKM meninjau lamaran yang masuk	30-babak-8-deal-lamaran-umkm-meninjau-lamaran-yang-masuk.png
31	BABAK 8 — DEAL LAMARAN	UMKM menyetujui Syarat dan Ketentuan	31-babak-8-deal-lamaran-umkm-menyetujui-syarat-dan-ketentuan.png
32	BABAK 8 — DEAL LAMARAN	DEAL! Kolaborasi via lamaran dimulai	32-babak-8-deal-lamaran-deal-kolaborasi-via-lamaran-dimulai.png
33	BABAK 9 — WORKSPACE	Creator membuka workspace kolaborasi	33-babak-9-workspace-creator-membuka-workspace-kolaborasi.png
34	BABAK 9 — WORKSPACE	Creator mengirim pesan ke UMKM	34-babak-9-workspace-creator-mengirim-pesan-ke-umkm.png
35	BABAK 9 — WORKSPACE	Creator memperbarui progres pekerjaan	35-babak-9-workspace-creator-memperbarui-progres-pekerjaan.png
36	BABAK 9 — WORKSPACE	Creator mengunggah hasil konten (v1)	36-babak-9-workspace-creator-mengunggah-hasil-konten-v1.png
37	BABAK 9 — WORKSPACE	UMKM meninjau konten & meminta revisi	37-babak-9-workspace-umkm-meninjau-konten-meminta-revisi.png
38	BABAK 9 — WORKSPACE	Creator mengirim revisi (v2)	38-babak-9-workspace-creator-mengirim-revisi-v2.png
39	BABAK 9 — WORKSPACE	UMKM menyetujui hasil revisi	39-babak-9-workspace-umkm-menyetujui-hasil-revisi.png
40	BABAK 9 — WORKSPACE	UMKM menyelesaikan kolaborasi	40-babak-9-workspace-umkm-menyelesaikan-kolaborasi.png
41	BABAK 9 — WORKSPACE	UMKM memberi rating & review untuk Creator	41-babak-9-workspace-umkm-memberi-rating-review-untuk-creator.png
42	BABAK 9 — SELESAI	Kolaborasi selesai penuh & di-review dua arah	42-babak-9-selesai-kolaborasi-selesai-penuh-di-review-dua-arah.png
43	BABAK 10 — ADMIN	Admin menjaga kualitas platform	43-babak-10-admin-admin-menjaga-kualitas-platform.png
44	BABAK 10 — ADMIN	Moderasi campaign	44-babak-10-admin-moderasi-campaign.png
45	BABAK 10 — ADMIN	Campaign demo terlihat di antrean moderasi	45-babak-10-admin-campaign-demo-terlihat-di-antrean-moderasi.png
46	BABAK 10 — ADMIN	Manajemen pengguna	46-babak-10-admin-manajemen-pengguna.png
47	BABAK 10 — ADMIN	Pemantauan seluruh kolaborasi lintas pengguna	47-babak-10-admin-pemantauan-seluruh-kolaborasi-lintas-pengguna.png
48	BABAK 10 — ADMIN	Audit log (catatan aktivitas, append-only)	48-babak-10-admin-audit-log-catatan-aktivitas-append-only.png
49	BABAK 10 — ADMIN	Laporan & ekspor data (CSV)	49-babak-10-admin-laporan-ekspor-data-csv.png
50	PENUTUP	Itulah Collabite dari daftar hingga deal selesai	50-penutup-itulah-collabite-dari-daftar-hingga-deal-selesai.png
